23415,23415,6512.0,5710.0,58,\N
23472,23472,6578.0,8795.0,37,TURUHANSK
23802,UUYY,6167.0,5078.0,117,\N
23884,23884,6160.0,9000.0,60,\N
23921,23921,6068.0,6043.0,95,IVDEL'
23933,USHH,6097.0,6907.0,44,\N
23955,23955,6043.0,7787.0,47,ALEKSANDROVSKOE
24266,24266,6755.0,13338.0,137,VERHOJANSK
24343,24343,6677.0,12340.0,83,\N
24507,24507,6428.0,10023.0,186,\N
24641,24641,6377.0,12162.0,110,VILJUJSK
24688,24688,6325.0,14315.0,741,OJMJAKON
24726,24726,6255.0,11400.0,363,\N
24908,24908,6033.0,10227.0,260,VANAVARA
24959,UEEE,6208.0,12975.0,100,YAKUTSK AIRPORT
25123,25123,6875.0,16130.0,26,\N
25428,25428,6523.0,16053.0,264,\N
25703,25703,6292.0,15242.0,206,SEJMCAN
25913,UHMM,5958.0,15078.0,118,MAGADAN
26038,ULTT,5945.0,2480.0,34,\N
26298,26298,5790.0,3405.0,187,BOLOGOE
26435,26435,5665.0,2513.0,83,\N
26477,ULOL,5638.0,3060.0,98,\N
26629,26629,5488.0,2388.0,75,\N
26781,26781,5475.0,3207.0,236,SMOLENSK
26850,UMMS,5387.0,2753.0,231,\N
27038,ULWW,5932.0,3993.0,130,\N
27199,27199,5860.0,4963.0,158,KIROV
27459,27459,5627.0,4400.0,157,NIZNIJ NOVGOROD
27707,27707,5412.0,3533.0,240,SUHINICI
27730,27730,5463.0,3970.0,158,\N
27962,UWPP,5313.0,4502.0,174,PENZA
27995,27995,5298.0,4943.0,45,BEZENCUKSKAJA
28225,28225,5802.0,5630.0,170,PERM
28275,28275,5815.0,6818.0,50,TOBOLSK
28445,28445,5673.0,6107.0,290,VERHNEE DUBROVO
28661,28661,5547.0,6540.0,79,\N
28722,28722,5482.0,5615.0,104,\N
28951,28951,5323.0,6362.0,171,\N
29231,29231,5830.0,8290.0,76,\N
29263,29263,5845.0,9215.0,78,\N
29282,29282,5838.0,9748.0,131,\N
29572,29572,5618.0,9262.0,206,EMEL'JANOVO
29612,29612,5537.0,7840.0,120,BARABINSK
29634,UNNN,5503.0,8290.0,143,NOVOSIBIRSK
29839,29839,5350.0,8383.0,145,\N
29862,29862,5377.0,9132.0,256,\N
30054,30054,5945.0,11258.0,186,VITIM
30230,UIKK,5777.0,10812.0,257,KIRENSK
30309,30309,5630.0,10170.0,417,BRATSK
30372,30372,5692.0,11825.0,711,CARA
30635,30635,5343.0,10898.0,459,UST-BARGUZIN
30715,30715,5248.0,10385.0,450,ANGARSK
30758,30758,5202.0,11333.0,672,CHITA
30935,30935,5037.0,10875.0,770,KRASNYJ CIKOJ
30965,30965,5038.0,11652.0,675,BORZJA
31004,31004,5862.0,12537.0,680,ALDAN
31088,31088,5937.0,14320.0,8,OHOTSK
31300,31300,5375.0,12723.0,228,ZEJA
31369,31369,5315.0,14070.0,46,NIKOLAEVSK-ON-AM
31510,31510,5027.0,12750.0,177,BLAGOVESCENSK
31538,31538,5007.0,13213.0,340,\N
31736,31736,4853.0,13523.0,72,HABAROVSK
31770,31770,4900.0,14027.0,22,\N
31873,31873,4593.0,13374.0,107,DAL'NERECENSK
31977,31977,4327.0,13205.0,82,SAD-GOROD
32061,32061,5090.0,14217.0,30,ALEKSANDROVSK-SAHALINSKIJ
32098,32098,4922.0,14310.0,4,\N
32150,UHSS,4692.0,14273.0,24,JUZNO-SAHALINSK
32215,32215,5070.0,15623.0,23,\N
32389,32389,5632.0,16083.0,28,\N
