    254     12     19      MAY    2020
      1  92803  72202  25.75N 80.38W     4   1103
      6   7863   2133  99999  99999    240     22
      5   7760   2243    112     62  99999  99999
      5   7670   2340    104     73  99999  99999
      6   7579   2438  99999  99999    240     24
      5   7450   2580     86     66  99999  99999
      5   7390   2647     84     41  99999  99999
      5   7330   2714     86     -4  99999  99999
      6   7304   2743  99999  99999    240     31
      5   7290   2759     82      2  99999  99999
      5   7260   2793     76     46  99999  99999
      5   7240   2816     74     53  99999  99999
      5   7030   3056     58     32  99999  99999
      4   7000   3100     54     35    245     28
      5   6970   3135     50     36  99999  99999
      5   6760   3383     42     20  99999  99999
      6   6534   3657  99999  99999    235     20
      5   6330   3912      4    -28  99999  99999
      5   6090   4220    -17    -24  99999  99999
      6   6054   4267  99999  99999    260     15
      5   6020   4312    -19    -41  99999  99999
      5   5970   4378    -13    -93  99999  99999
      5   5910   4458      8   -272  99999  99999
      5   5870   4512     14   -476  99999  99999
      6   5826   4572  99999  99999    300     25
      6   5608   4876  99999  99999    300     27
      4   5000   5790    -81   -531    300     39
      6   4999   5791  99999  99999    300     40
      6   4802   6096  99999  99999    295     36
      6   4613   6400  99999  99999    295     34
      5   4100   7291   -203   -513  99999  99999
      6   4086   7315  99999  99999    310     25
      4   4000   7470   -213   -573    310     25
      5   3950   7562   -217   -577  99999  99999
      6   3918   7620  99999  99999    300     28
      6   3756   7924  99999  99999    295     33
      5   3310   8832   -325   -605  99999  99999
      6   3307   8839  99999  99999    305     30
      6   3165   9144  99999  99999    300     27
      5   3090   9312   -355   -645  99999  99999
      4   3000   9530   -375   -645    295     28
      5   2880   9809   -399   -649  99999  99999
      5   2780  10049   -419   -669  99999  99999
      6   2776  10058  99999  99999    275     28
      5   2690  10271   -423   -663  99999  99999
      5   2550  10629   -457   -687  99999  99999
      6   2535  10668  99999  99999    275     36
      4   2500  10760   -461   -701    275     36
      5   2430  10948   -465   -705  99999  99999
      5   2330  11226   -489   -709  99999  99999
      6   2206  11582  99999  99999    275     25
      5   2180  11660   -501   -731  99999  99999
      6   2009  12192  99999  99999    280     33
      4   2000  12220   -537   -747    275     30
      6   1824  12801  99999  99999    240     34
      5   1760  13028   -595   -785  99999  99999
      7   1720  13171   -599   -789    250     38
      5   1690  13282   -581   -791  99999  99999
      6   1656  13411  99999  99999    255     36
      5   1580  13704   -583   -843  99999  99999
      6   1577  13716  99999  99999    240     32
      5   1550  13824   -575   -855  99999  99999
      6   1502  14020  99999  99999    255     40
      4   1500  14030   -591   -881    255     40
      5   1460  14199   -589   -889  99999  99999
      6   1234  15240  99999  99999    250     32
      5   1220  15313   -625   -925  99999  99999
      5   1130  15787   -603   -913  99999  99999
      5   1070  16124   -629   -929  99999  99999
      5   1030  16358   -633   -933  99999  99999
      4   1000  16550   -647   -947    250     26
      5    857  17483   -673   -953  99999  99999
      5    773  18097   -715   -975  99999  99999
      7    773  18097   -715   -975    310     23
      5    758  18213   -697   -957  99999  99999
      6    748  18288  99999  99999    305     17
      5    725  18477   -707   -957  99999  99999
      4    700  18690   -687   -947    335     15
      5    657  19072   -645   -935  99999  99999
      5    600  19622   -669   -959  99999  99999
      5    558  20061   -651   -941  99999  99999
      6    553  20116  99999  99999      0      0
      5    549  20160   -633   -933  99999  99999
      5    502  20707   -643   -943  99999  99999
      4    500  20740   -641   -941    140      5
      6    454  21336  99999  99999     40      6
      5    446  21441   -623   -923  99999  99999
      5    438  21553   -603   -913  99999  99999
      6    411  21945  99999  99999     25     10
      5    401  22099   -623   -923  99999  99999
      5    388  22303   -609   -919  99999  99999
      6    373  22555  99999  99999     85     15
      5    353  22889   -611   -921  99999  99999
      6    338  23164  99999  99999     60     15
      6    322  23469  99999  99999     95     19
      5    306  23783   -567   -887  99999  99999
      4    300  23910   -569   -889     95     15
      6    292  24079  99999  99999    110     14
      5    280  24344   -587   -897  99999  99999
      6    278  24384  99999  99999     80     14
      5    232  25534   -541   -871  99999  99999
      5    202  26418   -549   -869  99999  99999
      4    200  26490   -543   -873      5      3
      6    199  26517  99999  99999     25      3
      6    190  26822  99999  99999     35     11
      5    189  26855   -505   -845  99999  99999
      6    181  27127  99999  99999     95     12
      6    173  27432  99999  99999     80      7
      5    171  27507   -499   -839  99999  99999
      6    158  28041  99999  99999    225     12
      5    153  28237   -469   -819  99999  99999
      5    142  28729   -477   -827  99999  99999
      6    137  28956  99999  99999    255     11
      6    125  29565  99999  99999    310     17
      5    122  29733   -455   -805  99999  99999
      5    111  30366   -421   -781  99999  99999
      6    109  30480  99999  99999     30      8
      6    104  30784  99999  99999     45      1
      5    103  30871   -415   -775  99999  99999
      4    100  31090   -397   -767     15      8
      5     91  31740   -343   -733  99999  99999
      6     88  32004  99999  99999    165     19
      5     82  32465   -349   -739  99999  99999
    254     12     19      MAY    2020
      1  93805  72214  30.45N 84.30W    52   1112
      2    100   3174    736    134  99999      3
      3           TLH                99999     kt
      9  10030     52    212    197    280      5
      5  10020     61    212    180  99999  99999
      4  10000     82    210    177    270      7
      6   9745    304  99999  99999    290     13
      5   9720    326    202    160  99999  99999
      6   9403    609  99999  99999    325     11
      5   9360    648    178    152  99999  99999
      4   9250    754    176    128    305      8
      5   9230    772    178    128  99999  99999
      5   9100    892    176    135  99999  99999
      6   9076    914  99999  99999    275     11
      6   8754   1219  99999  99999    260     16
      5   8740   1233    152    134  99999  99999
